SampleID,Env,SourceSink,id
DLSs01,soil,Source,NA
DLSs02,soil,Source,NA
DLSs03,soil,Source,NA
DPSs202001,soil,Source,NA
DPSs202002,soil,Source,NA
DPSs202003,soil,Source,NA
HLs202001,soil,Source,NA
HLs202002,soil,Source,NA
HLs202003,soil,Source,NA
SLTs202001,soil,Source,NA
SLTs202002,soil,Source,NA
SLTs202003,soil,Source,NA
SLs01,soil,Source,NA
SLs02,soil,Source,NA
SLs03,soil,Source,NA
XSs202001,soil,Source,NA
XSs202002,soil,Source,NA
XsSs202003,soil,Source,NA
DLSw202001,water,Sink,1
DLSw202002,water,Sink,2
DLSw202003,water,Sink,3
DPSw202001,water,Sink,4
DPSw202002,water,Sink,5
DPSw202003,water,Sink,6
HLw202001,water,Sink,7
HLw202002,water,Sink,8
HLw202003,water,Sink,9
SLTw202001,water,Sink,10
SLTw202002,water,Sink,11
SLTw202003,water,Sink,12
SLw202001,water,Sink,13
SLw202002,water,Sink,14
SLw202003,water,Sink,15
XSw202001,water,Sink,16
XSw202002,water,Sink,17
XSw202003,water,Sink,18
